@area,可住地面積１k�F当たり人口密度,昼夜間人口比率,外国人人口（人口１０万人当たり）,１５歳未満人口割合,１５〜６４歳人口割合,６５歳以上人口割合,未婚者割合（15歳以上人口）,人口増減率,転入超過率,転入率,転出率,核家族世帯割合,高齢夫婦のみの世帯の割合,高齢単身世帯の割合,総面積（都道府県面積に占める割合）,可住地面積割合,商業年間商品販売額［卸売業＋小売業］（従業者１人当たり）,商業年間商品販売額［卸売業＋小売業］（事業所当たり）,課税対象所得（納税義務者１人当たり）,標準財政規模（市町村財政）,小学校数（可住地面積100k�F当たり）,中学校数（可住地面積100k�F当たり）,高等学校数（可住地面積100k�F当たり）,就業者比率,第１次産業就業者比率（対就業者）,第２次産業就業者比率（対就業者）,第３次産業就業者比率（対就業者）,第２次産業及び第３次産業就業者比率（対就業者）,完全失業率,他市区町村への通勤者比率,他市区町村からの通勤者比率,高齢就業者割合［６５歳以上］,公民館数（人口100万人当たり）,図書館数（人口100万人当たり）,持ち家比率,空き家比率（対総住宅数）,１住宅当たりの延べ面積,小売店数（事業所・企業統計調査結果）（人口千人当たり）,飲食店数（事業所・企業統計調査結果）（人口千人当たり）,大型小売店数（事業所・企業統計調査結果）（人口10万人当たり）,百貨店数（事業所・企業統計調査結果）（人口10万人当たり）,一般病院数（人口10万人当たり）,一般診療所数（人口10万人当たり）,一般病院数（可住地面積100k�F当たり）,一般診療所数（可住地面積100k�F当たり）,介護老人福祉施設（65歳以上人口10万人当たり）
43213,469.3,98,274.4,13.108,55.44,31.358,23.26071,-3.43,-0.31,3.16,3.47,58.14,13.58,11.82,2.55,68.1,2345.9,160.7,2510.866667,17474008,10.11666667,3.89,1.556666667,95.373,16.12,21.93,61.4,83.33,4.6,36.6,35.5,22.41,83.7,75.3,71.4,12.98,113.37,9.535,3.195,6.69,2.51,11.7,73.6,5.44,34.14,26.7
43214,164.6,102.8,910.5,11.988,52.347,35.654,21.69557,-5.01,-0.32,2.92,3.24,51.27,14.99,13.49,5.08,43.8,2496.5,138.9,2451.4,9404322,4.146666667,1.823333333,0.61,96.426,17.77,22.1,59.78,81.88,3.6,14.9,22.7,25.94,222.1,37,71.3,16.77,120.42,11.435,6.125,3.7,0,11.1,70.3,1.8,11.78,20.8
43215,377.1,99.5,211.5,11.883,50.88,37.236,21.11725,-7.1,-0.79,2.23,3.02,56.3,16.14,17.12,9.23,32.16666667,2184.4,101.1,2476.9,32309115,9.171666667,5.916666667,2.88,95.322,13.52,16.79,69.63,86.42,4.7,5.6,4.5,19.95,12.1,48.3,76.4,22.16,109.2,15.22,5.08,7.855,1.21,13.3,87,5,33.94,35.7
43216,1269.2,89.2,265.5,18.093,59.232,22.613,23.62046,6.12,1,4.83,3.83,69.42,12.62,8.08,0.72,86.83333333,4023.9,279.7,2922.933333,12167135.67,15.16,6.5,0,95.378,5.24,26.31,67.38,93.69,4.6,62.5,44.4,18.38,42.85,51.4,75.3,7.76,109.07,4.625,1.84,4.285,0,6.9,61.7,8.64,78.02,22.7
43348,283.6,88.5,435.5,9.32,48.95,41.692,21.23589,-9.26,-1.14,1.64,2.78,52.58,17.15,15.83,1.94,26.96666667,1408.7,66.6,2228.95,4208069,7.743333333,5.163333333,0,96.093,13.8,28.01,58.11,86.12,3.9,43.2,23.9,20.47,241.95,0,,,,9.34,2.37,0,0,29,48.4,7.78,11.48,92.9
43364,315.5,80.2,569.8,13.751,53.086,33.143,23.17616,-5.2,-0.4,2.62,3.02,57.94,15.43,13.4,0.33,68.86666667,1937.4,119.5,2389.833333,1894552.667,11.93333333,5.97,0,96.645,23.14,23.4,53.38,76.78,3.4,55.5,23.9,28.71,189.9,0,,,,6.84,0.665,0,0,0,38,0,11.94,57.3
43367,281.5,102.6,613.1,10.954,53.229,35.755,23.29963,-7.36,-0.78,2.74,3.52,57.44,15.87,14.29,0.93,50.73333333,1798.8,90.8,2348.5,3305020.333,11.43666667,2.86,1.435,95.802,15.39,32.88,51.5,84.37,4.2,45.1,57.6,24.95,102.2,102.2,,,,10.935,1.735,10.22,0,0,40.9,0,11.44,28.6
43368,832.3,107.4,1277.6,12.153,56.643,31.185,23.63924,-4.25,-0.61,3.18,3.79,60.25,14.75,12.04,0.26,98.3,1839.1,107.5,2526.283333,4156392,20.94666667,10.47666667,0,94.33,5.42,38.43,55.25,93.67,5.7,46.2,70.7,17.5,314.7,62.9,81.3,9.45,119.94,6.985,1.475,3.145,0,6.3,56.6,5.2,43.98,0
43369,216.1,95.2,235.5,10.068,50.633,39.26,20.97849,-9.39,-0.58,2.39,2.97,53.64,16.7,14.5,1.33,47.76666667,1411.3,66.8,2381.55,4426478,10.6,4.24,0,96.493,19.82,27.04,52.71,79.75,3.5,48.4,45,22.67,147.2,0,,,,9.225,2.205,4.905,0,9.8,58.9,2.1,12.7,25
43403,702.9,110.4,358.7,17.054,61.913,20.624,25.98831,7.1,0.45,5.1,4.65,59.53,8.81,7.9,1.34,51.53333333,4548.5,382.6,2840.716667,7495388.667,13.73666667,3.926666667,3.926666667,95.626,7.63,33.21,57.68,90.89,4.4,47.9,67.7,22.73,164.45,29.9,56.2,8.53,91.32,6.805,3.035,13.455,2.99,6,65.8,3.96,43.08,14.5
